Name,Symbol,Market Cap,Price (USD),Circulating Supply,Volume (24h)	,Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$309,985,886,217","$16,721.31","18,538,368 BTC","$29,819,305,124",0.37%,5.06%,9.89%
Ethereum,ETH,"$52,367,793,496",$461.58,"113,452,728 ETH","$11,049,711,552",0.08%,3.66%,3.93%
Tether,USDT,"$17,876,220,160",$1.00,"17,866,843,501 USDT *","$42,277,567,700",0.02%,0.02%,-0.02%
XRP,XRP,"$13,009,363,378",$0.287004,"45,328,155,123 XRP *","$3,914,327,030",1.55%,7.15%,14.73%
Chainlink,LINK,"$4,972,828,604",$12.67,"392,509,556 LINK *","$1,083,482,062",-0.22%,5.21%,1.17%
Litecoin,LTC,"$4,730,571,370",$71.79,"65,895,172 LTC","$4,914,951,130",0.95%,16.04%,21.58%
Bitcoin Cash,BCH,"$4,663,913,468",$251.10,"18,573,800 BCH","$2,662,930,275",0.45%,4.40%,-4.74%
Binance Coin,BNB,"$4,047,035,599",$28.03,"144,406,561 BNB *","$273,513,044",0.44%,1.47%,0.28%
Polkadot,DOT,"$3,976,927,659",$4.53,"878,434,064 DOT *","$419,183,692",-0.62%,2.99%,3.84%
Cardano,ADA,"$3,246,514,772",$0.104348,"31,112,484,646 ADA","$404,999,823",0.29%,2.66%,0.28%
Bitcoin SV,BSV,"$2,969,643,199",$159.90,"18,572,277 BSV","$1,044,350,148",0.09%,3.62%,0.11%
USD Coin,USDC,"$2,831,757,143",$0.999840,"2,832,211,251 USDC *","$498,666,175",-0.01%,-0.01%,-0.04%
EOS,EOS,"$2,419,843,833",$2.58,"937,818,738 EOS *","$1,695,131,264",0.27%,3.79%,3.28%
Monero,XMR,"$2,098,431,919",$118.16,"17,759,616 XMR","$642,303,807",-0.62%,2.89%,0.20%
Wrapped Bitcoin,WBTC,"$2,074,632,807","$16,695.86","124,260 WBTC *","$42,476,190",0.48%,5.23%,9.89%
TRON,TRX,"$1,838,444,410",$0.025655,"71,659,657,369 TRX *","$622,475,377",0.07%,1.38%,2.43%
Stellar,XLM,"$1,716,825,005",$0.082000,"20,936,884,521 XLM *","$143,920,967",0.56%,2.34%,3.00%
Tezos,XTZ,"$1,561,431,831",$2.08,"750,236,656 XTZ *","$165,163,267",-0.13%,3.05%,0.58%
Crypto.com Coin,CRO,"$1,435,010,036",$0.066081,"21,715,981,734 CRO *","$41,408,637",0.77%,-0.50%,-5.76%
UNUS SED LEO,LEO,"$1,256,702,072",$1.26,"999,498,893 LEO *","$11,561,784",0.84%,-0.88%,-2.00%
NEM,XEM,"$1,238,733,645",$0.137637,"8,999,999,999 XEM *","$29,413,970",0.86%,4.05%,12.00%
Neo,NEO,"$1,112,349,088",$15.77,"70,538,831 NEO *","$380,856,743",0.17%,3.61%,3.76%
Cosmos,ATOM,"$1,054,077,053",$5.12,"205,854,535 ATOM *","$150,955,571",-0.18%,3.85%,0.92%
Dai,DAI,"$1,012,866,971",$1.00,"1,010,924,926 DAI *","$86,810,625",0.04%,0.03%,-0.61%
Filecoin,FIL,"$992,166,239",$27.92,"35,537,924 FIL","$130,851,213",-0.02%,-2.00%,-12.55%
Aave,AAVE,"$850,746,063",$72.37,"11,755,659 AAVE *","$248,403,854",6.42%,13.60%,29.50%
Dash,DASH,"$801,719,249",$81.67,"9,816,336 DASH","$393,534,072",-0.46%,10.04%,20.93%
Uniswap,UNI,"$791,337,936",$3.60,"219,761,822 UNI *","$764,624,262",0.28%,-7.49%,33.90%
Huobi Token,HT,"$734,066,248",$3.58,"204,811,752 HT *","$75,860,723",-0.34%,-1.35%,-4.06%
VeChain,VET,"$727,432,980",$0.011310,"64,315,576,989 VET *","$87,417,499",0.28%,2.57%,2.96%
IOTA,MIOTA,"$712,944,162",$0.256498,"2,779,530,283 MIOTA *","$8,688,631",0.36%,2.99%,2.36%
Zcash,ZEC,"$691,703,453",$65.96,"10,487,344 ZEC","$353,502,387",2.53%,8.33%,12.83%
Binance USD,BUSD,"$653,136,005",$0.999900,"653,201,325 BUSD *","$506,342,447",-0.01%,0.01%,-0.01%
Ethereum Classic,ETC,"$621,205,715",$5.34,"116,313,299 ETC","$534,635,156",1.05%,7.32%,6.21%
THETA,THETA,"$619,116,846",$0.619117,"1,000,000,000 THETA *","$11,346,405",0.24%,2.55%,-1.47%
yearn.finance,YFI,"$556,542,882","$18,571.41","29,968 YFI *","$468,388,949",1.09%,7.38%,22.95%
Maker,MKR,"$523,543,424",$521.90,"1,003,154 MKR *","$38,546,170",-0.49%,1.74%,-0.05%
Compound,COMP,"$506,044,308",$121.87,"4,152,311 COMP *","$187,245,819",2.05%,0.61%,27.99%
Waves,WAVES,"$504,353,006",$4.87,"103,552,180 WAVES *","$113,130,466",0.25%,12.51%,36.49%
OMG Network,OMG,"$481,789,163",$3.44,"140,245,398 OMG *","$129,267,776",0.07%,4.33%,9.64%
Synthetix,SNX,"$468,628,108",$4.43,"105,806,154 SNX *","$69,594,111",0.32%,7.01%,7.34%
UMA,UMA,"$450,204,729",$8.12,"55,455,184 UMA *","$12,834,024",-0.06%,-2.64%,15.71%
Celsius,CEL,"$442,204,462",$1.85,"238,863,520 CEL *","$9,548,655",0.36%,-1.93%,-1.37%
Ontology,ONT,"$371,242,634",$0.476826,"778,570,209 ONT *","$83,074,878",0.45%,3.16%,3.51%
Dogecoin,DOGE,"$365,024,496",$0.002871,"127,127,504,620 DOGE","$49,808,757",-1.21%,3.62%,6.70%
FTX Token,FTT,"$350,596,049",$3.72,"94,346,958 FTT *","$2,423,707",0.47%,3.31%,5.69%
Kusama,KSM,"$303,072,713",$35.78,"8,470,098 KSM *","$25,533,752",-2.21%,0.61%,7.86%
Algorand,ALGO,"$302,626,863",$0.266620,"1,135,049,698 ALGO","$64,700,281",0.22%,3.77%,1.35%
Basic Attention Token,BAT,"$297,879,548",$0.199143,"1,495,810,562 BAT *","$82,122,425",0.40%,3.98%,3.84%
Ren,REN,"$290,496,552",$0.328418,"884,532,525 REN *","$46,146,644",0.49%,7.01%,5.44%
BitTorrent,BTT,"$290,038,226",$0.000293,"990,000,000,000 BTT *","$55,739,285",0.15%,0.65%,-0.21%
OKB,OKB,"$279,982,463",$4.67,"60,000,000 OKB *","$58,421,240",-0.47%,0.26%,1.20%
TrueUSD,TUSD,"$274,456,421",$0.999091,"274,706,046 TUSD *","$80,141,710",-0.03%,0.04%,0.05%
NEAR Protocol,NEAR,"$273,919,565",$0.876225,"312,613,107 NEAR *","$16,398,665",0.45%,8.37%,1.84%
0x,ZRX,"$267,726,123",$0.359877,"743,937,911 ZRX *","$32,892,992",-3.87%,3.11%,4.34%
HUSD,HUSD,"$265,561,883",$0.998692,"265,909,768 HUSD *","$40,087,438",-0.02%,0.03%,-0.10%
DigiByte,DGB,"$258,426,786",$0.018791,"13,752,433,908 DGB","$7,243,601",-0.80%,1.21%,-10.20%
HedgeTrade,HEDG,"$247,581,577",$0.729831,"339,231,468 HEDG *","$306,218",-3.54%,-1.87%,-9.62%
Paxos Standard,PAX,"$244,560,744",$0.998403,"244,951,954 PAX *","$106,939,957",0.06%,0.16%,0.02%
ABBC Coin,ABBC,"$230,294,091",$0.290935,"791,564,497 ABBC","$63,417,798",1.84%,-3.81%,6.96%
Decred,DCR,"$227,724,607",$18.58,"12,256,416 DCR","$8,293,466",1.49%,-6.79%,12.79%
Ocean Protocol,OCEAN,"$225,665,770",$0.545051,"414,026,837 OCEAN *","$17,011,882",0.59%,2.45%,1.81%
Zilliqa,ZIL,"$223,737,373",$0.021019,"10,644,283,356 ZIL","$28,490,689",0.37%,3.69%,10.50%
Celo,CELO,"$220,448,924",$1.77,"124,447,717 CELO *","$2,022,373",-0.04%,5.11%,11.92%
Energy Web Token,EWT,"$213,862,670",$7.11,"30,062,138 EWT *","$342,641",1.08%,0.11%,-5.91%
Loopring,LRC,"$212,820,366",$0.185710,"1,145,982,211 LRC *","$18,004,104",1.05%,5.27%,28.36%
SushiSwap,SUSHI,"$205,700,145",$1.35,"152,093,118 SUSHI *","$214,946,969",-0.01%,7.05%,124.22%
ICON,ICX,"$203,080,651",$0.354487,"572,885,758 ICX *","$18,053,971",-0.14%,3.68%,6.92%
Qtum,QTUM,"$200,790,185",$2.06,"97,396,468 QTUM *","$279,254,643",0.31%,4.10%,4.11%
Quant,QNT,"$198,897,469",$16.47,"12,072,738 QNT *","$4,682,647",0.79%,2.96%,24.78%
Hedera Hashgraph,HBAR,"$192,214,758",$0.031959,"6,014,452,477 HBAR *","$8,614,196",0.01%,3.21%,5.74%
Kyber Network,KNC,"$188,515,940",$0.940051,"200,537,940 KNC *","$26,515,352",-0.35%,4.03%,16.63%
Blockstack,STX,"$169,565,913",$0.247870,"684,090,970 STX *","$1,820,768",-1.20%,2.76%,34.81%
Reserve Rights,RSR,"$162,488,208",$0.017378,"9,349,999,000 RSR *","$83,558,554",6.92%,8.37%,20.00%
Augur,REP,"$150,413,857",$13.67,"11,000,000 REP *","$7,570,096",-0.81%,22.34%,5.89%
THORChain,RUNE,"$147,008,955",$0.927899,"158,432,088 RUNE *","$30,983,512",2.98%,5.84%,58.00%
Ampleforth,AMPL,"$143,698,131",$1.03,"139,125,408 AMPL *","$2,660,187",0.22%,-0.79%,-10.91%
NXM,NXM,"$136,704,312",$25.61,"5,337,204 NXM *","$21,687,986",0.12%,7.81%,16.78%
Lisk,LSK,"$135,880,938",$1.07,"126,420,393 LSK *","$3,004,554",-0.12%,0.87%,-2.06%
Bitcoin Gold,BTG,"$134,103,524",$7.66,"17,513,924 BTG","$5,652,712",0.08%,3.58%,3.84%
Aragon,ANT,"$129,658,679",$3.27,"39,609,523 ANT *","$14,690,253",0.03%,3.04%,7.56%
Revain,REV,"$121,136,250",$0.010548,"11,484,410,729 REV *","$404,955",-0.05%,0.51%,-0.57%
Enjin Coin,ENJ,"$120,905,777",$0.146885,"823,130,411 ENJ *","$6,227,783",-0.11%,1.76%,11.86%
Siacoin,SC,"$120,468,351",$0.002674,"45,048,472,992 SC","$1,835,224",-0.38%,1.73%,3.38%
Terra,LUNA,"$119,771,760",$0.310660,"385,539,515 LUNA *","$8,032,246",0.55%,0.77%,3.40%
Decentraland,MANA,"$117,764,613",$0.079366,"1,483,824,675 MANA *","$15,934,525",-0.84%,-0.59%,-16.35%
Band Protocol,BAND,"$117,556,914",$5.74,"20,494,033 BAND *","$75,541,925",0.06%,4.08%,-1.85%
ZB Token,ZB,"$116,027,096",$0.250442,"463,288,810 ZB *","$7,136,901",-0.01%,0.94%,1.10%
Nexo,NEXO,"$113,208,236",$0.202158,"560,000,011 NEXO *","$6,578,341",0.28%,-0.82%,22.57%
The Midas Touch Gold,TMTG,"$107,330,988",$0.015323,"7,004,355,569 TMTG *","$10,357,809",0.28%,-11.87%,-24.73%
Numeraire,NMR,"$106,203,165",$23.91,"4,441,757 NMR *","$4,212,495",0.31%,0.08%,5.03%
Elrond,EGLD,"$106,034,524",$7.73,"13,710,605 EGLD *","$3,663,368",0.14%,3.00%,-5.00%
Golem,GNT,"$105,575,039",$0.106569,"990,670,000 GNT *","$9,959,180",2.08%,6.99%,10.22%
Solana,SOL,"$103,856,916",$2.26,"45,909,151 SOL *","$23,520,668",1.47%,10.14%,11.15%
Curve DAO Token,CRV,"$98,925,793",$0.808271,"122,391,823 CRV *","$103,229,741",2.39%,5.83%,76.26%
Nano,NANO,"$97,618,036",$0.732603,"133,248,297 NANO *","$5,556,569",0.10%,0.25%,-0.87%
Ravencoin,RVN,"$96,656,866",$0.012907,"7,488,850,000 RVN","$4,708,977",-0.27%,2.72%,5.27%
DxChain Token,DX,"$95,030,494",$0.001901,"50,000,000,000 DX *","$451,103",0.72%,0.07%,-3.72%
SwissBorg,CHSB,"$90,896,153",$0.098339,"924,316,476 CHSB *","$472,512",-3.97%,0.74%,14.47%
Balancer,BAL,"$91,150,466",$13.13,"6,943,831 BAL *","$92,572,335",-0.22%,3.85%,31.50%
CyberVein,CVT,"$91,114,525",$0.085924,"1,060,404,496 CVT *","$5,117,592",1.43%,-3.77%,-4.93%
Avalanche,AVAX,"$89,644,206",$3.66,"24,500,000 AVAX *","$27,276,919",0.22%,3.35%,7.94%
Status,SNT,"$89,656,612",$0.025834,"3,470,483,788 SNT *","$5,541,543",0.95%,2.51%,5.84%
Arweave,AR,"$88,712,204",$2.66,"33,394,701 AR *","$4,134,894",2.39%,17.08%,21.73%
Bitcoin Diamond,BCD,"$84,837,115",$0.454908,"186,492,898 BCD","$1,636,069",0.32%,2.15%,3.64%
Holo,HOT,"$85,154,000",$0.000511,"166,760,920,521 HOT *","$6,523,619",1.88%,5.00%,4.82%
Orchid,OXT,"$83,168,714",$0.226257,"367,584,352 OXT *","$5,528,190",2.56%,2.47%,2.63%
MonaCoin,MONA,"$83,058,419",$1.26,"65,729,675 MONA","$1,287,710",0.59%,2.41%,1.75%
iExec RLC,RLC,"$82,094,688",$1.03,"80,070,793 RLC *","$6,371,270",0.51%,0.18%,17.98%
Bytom,BTM,"$81,172,797",$0.058506,"1,387,419,607 BTM","$10,405,712",1.47%,4.45%,2.74%
Matic Network,MATIC,"$79,234,374",$0.016654,"4,757,759,104 MATIC *","$7,211,396",1.11%,1.69%,6.06%
Kava.io,KAVA,"$79,123,131",$1.69,"46,876,230 KAVA *","$25,535,883",1.65%,14.27%,18.14%
Swipe,SXP,"$78,260,986",$0.996106,"78,566,934 SXP *","$62,343,801",-0.95%,7.81%,4.94%
PAX Gold,PAXG,"$76,753,565","$1,887.82","40,657 PAXG *","$966,976",-0.16%,0.04%,1.32%
IoTeX,IOTX,"$75,515,327",$0.007803,"9,678,144,442 IOTX *","$3,072,106",-0.53%,-0.93%,4.66%
IOST,IOST,"$75,151,466",$0.004921,"15,272,166,877 IOST *","$17,086,927",0.39%,3.06%,0.90%
Verge,XVG,"$74,188,800",$0.004527,"16,389,361,143 XVG","$998,021",0.32%,4.71%,8.07%
Nervos Network,CKB,"$73,958,342",$0.003453,"21,418,775,291 CKB *","$4,547,589",0.35%,2.60%,23.20%
Storj,STORJ,"$70,046,715",$0.350767,"199,695,920 STORJ *","$17,627,421",2.34%,4.60%,3.19%
Helium,HNT,"$68,729,541",$1.23,"55,756,572 HNT","$184,473",1.33%,1.71%,16.60%
Uquid Coin,UQC,"$67,504,826",$6.75,"10,000,000 UQC *","$14,448,823",5.10%,8.73%,-10.23%
DFI.Money,YFII,"$66,907,323","$1,733.53","38,596 YFII *","$211,964,750",1.61%,1.68%,17.84%
Horizen,ZEN,"$66,004,742",$6.35,"10,388,463 ZEN","$3,460,676",0.71%,0.56%,7.30%
KuCoin Shares,KCS,"$66,074,941",$0.818485,"80,728,394 KCS *","$5,420,050",0.18%,-0.82%,-2.08%
Civic,CVC,"$65,701,770",$0.098062,"670,000,000 CVC *","$38,900,218",-1.38%,-3.38%,1.32%
MaidSafeCoin,MAID,"$64,056,725",$0.141545,"452,552,412 MAID *","$357,294",0.33%,5.22%,15.61%
Velas,VLX,"$61,963,784",$0.029418,"2,106,296,362 VLX *","$1,111,829",-2.85%,-0.25%,-11.49%
Divi,DIVI,"$62,448,848",$0.031225,"1,999,973,143 DIVI","$225,440",-0.98%,1.67%,5.50%
RSK Infrastructure Framework,RIF,"$62,515,544",$0.093741,"666,900,011 RIF *","$463,114",2.43%,-0.79%,-3.07%
Serum,SRM,"$62,112,684",$1.24,"50,000,000 SRM *","$95,840,666",-0.18%,9.60%,20.44%
Gnosis,GNO,"$61,019,296",$55.24,"1,104,590 GNO *","$91,988",-0.71%,-4.48%,-4.81%
Utrust,UTK,"$58,731,906",$0.130515,"450,000,000 UTK *","$2,907,017",-1.52%,-1.67%,1.94%
Steem,STEEM,"$59,002,351",$0.149975,"393,415,776 STEEM *","$1,563,325",0.22%,2.30%,3.56%
Komodo,KMD,"$56,505,828",$0.460135,"122,802,785 KMD","$1,428,856",-1.38%,1.00%,3.17%
BitShares,BTS,"$56,013,773",$0.018687,"2,997,510,000 BTS *","$3,997,941",1.41%,3.23%,2.04%
Ardor,ARDR,"$54,613,381",$0.054668,"998,999,495 ARDR *","$2,314,528",-0.32%,0.98%,2.40%
Chiliz,CHZ,"$53,742,780",$0.010922,"4,920,737,861 CHZ *","$5,891,262",0.34%,2.40%,3.37%
ShareToken,SHR,"$54,453,059",$0.027686,"1,966,804,955 SHR *","$4,888,220",9.90%,14.43%,37.11%
aelf,ELF,"$52,988,166",$0.097319,"544,480,200 ELF *","$9,635,870",0.84%,3.47%,10.57%
Unibright,UBT,"$50,919,530",$0.342201,"148,799,999 UBT *","$2,017,109",-0.41%,5.02%,-5.02%
Bancor,BNT,"$51,501,346",$0.722031,"71,328,428 BNT *","$35,107,181",-0.09%,0.52%,9.89%
Wanchain,WAN,"$51,002,470",$0.302340,"168,692,654 WAN *","$1,917,228",0.39%,3.09%,19.40%
JUST,JST,"$50,928,652",$0.022532,"2,260,326,706 JST *","$40,824,010",0.61%,-3.38%,13.99%
WAX,WAXP,"$50,220,360",$0.035698,"1,406,794,501 WAXP *","$766,446",-0.70%,-1.53%,4.72%
Hive,HIVE,"$48,676,060",$0.118070,"412,263,639 HIVE *","$5,545,425",-1.34%,2.00%,6.42%
Stratis,STRAT,"$48,643,395",$0.486254,"100,036,951 STRAT *","$782,031",-0.02%,-0.61%,1.93%
Ankr,ANKR,"$48,229,596",$0.008273,"5,829,566,044 ANKR *","$6,945,364",0.90%,2.13%,-2.90%
Kleros,PNK,"$47,573,497",$0.083428,"570,235,435 PNK *","$4,853,140",2.16%,59.74%,39.89%
IRISnet,IRIS,"$46,145,837",$0.053256,"866,488,161 IRIS *","$3,232,447",1.31%,8.28%,2.64%
TomoChain,TOMO,"$46,089,732",$0.606135,"76,038,700 TOMO","$5,327,026",0.60%,2.47%,6.46%
QuarkChain,QKC,"$44,653,452",$0.004906,"9,100,949,804 QKC *","$2,441,412",-0.84%,-2.03%,6.23%
Tellor,TRB,"$44,377,366",$28.51,"1,556,529 TRB","$65,392,257",2.93%,16.28%,28.80%
Ark,ARK,"$43,741,360",$0.349408,"125,186,883 ARK *","$5,491,675",-1.53%,0.62%,2.39%
Energi,NRG,"$43,426,668",$1.24,"35,002,250 NRG","$2,025,368",1.95%,3.96%,-18.07%
SUN,SUN,"$42,778,961",$9.34,"4,581,173 SUN *","$45,359,325",-1.77%,-3.77%,18.87%
Hyperion,HYN,"$42,737,099",$0.134917,"316,765,917 HYN *","$128,319",0.59%,3.69%,13.72%
Loki,LOKI,"$42,384,147",$0.818481,"51,783,936 LOKI *","$273,563",-0.90%,13.07%,91.82%
Electroneum,ETN,"$42,235,105",$0.004137,"10,209,365,253 ETN","$1,444,304",-0.51%,1.54%,-4.39%
Theta Fuel,TFUEL,"$42,532,406",$0.008571,"4,962,631,792 TFUEL *","$1,256,736",1.24%,0.24%,-1.70%
SingularityNET,AGI,"$42,262,479",$0.049693,"850,476,959 AGI *","$346,896",3.95%,3.15%,-4.32%
OriginTrail,TRAC,"$42,087,602",$0.125700,"334,825,964 TRAC *","$2,863,764",0.55%,6.83%,-28.18%
Fantom,FTM,"$41,740,772",$0.019563,"2,133,669,239 FTM *","$9,246,725",1.63%,10.98%,6.31%
Ultra,UOS,"$40,778,678",$0.144359,"282,480,130 UOS *","$604,153",5.01%,12.44%,50.14%
Kin,KIN,"$39,484,743",$0.000026,"1,518,114,145,968 KIN *","$68,749",0.72%,1.26%,2.98%
Switcheo,SWTH,"$39,606,709",$0.037221,"1,064,090,958 SWTH *","$354,436",-0.10%,-0.35%,36.02%
Pundi X,NPXS,"$39,355,886",$0.000168,"234,544,488,396 NPXS *","$1,504,868",-0.74%,0.21%,2.96%
STASIS EURO,EURS,"$37,744,095",$1.18,"31,979,207 EURS *","$2,331,122",0.44%,0.90%,1.00%
Power Ledger,POWR,"$36,434,579",$0.085932,"423,992,467 POWR *","$1,358,245",-0.25%,0.43%,0.62%
HyperCash,HC,"$36,436,508",$0.811793,"44,884,016 HC","$7,981,874",0.70%,-0.11%,-4.10%
Zcoin,XZC,"$36,163,096",$3.22,"11,218,368 XZC","$4,986,546",0.22%,-1.20%,0.56%
DIA,DIA,"$36,095,592",$1.28,"28,271,916 DIA *","$27,075,288",0.81%,7.46%,13.95%
Hxro,HXRO,"$36,106,542",$0.201543,"179,150,221 HXRO *","$481,932",-4.22%,-0.71%,-8.43%
SOLVE,SOLVE,"$34,609,392",$0.092132,"375,651,077 SOLVE *","$320,207",-0.01%,3.18%,5.88%
WaykiChain,WICC,"$33,890,909",$0.179317,"189,000,000 WICC *","$2,112,404",-0.40%,-0.92%,5.18%
Aion,AION,"$32,635,213",$0.068294,"477,861,253 AION","$1,363,242",-0.57%,2.65%,3.85%
Nexalt,XLT,"$32,133,314",$1.65,"19,487,077 XLT *","$413,059",1.03%,2.99%,6.30%
district0x,DNT,"$32,231,926",$0.053720,"600,000,000 DNT *","$8,198,035",-2.21%,-5.29%,-30.44%
Aeternity,AE,"$32,041,522",$0.098553,"325,119,420 AE","$8,301,629",0.53%,2.24%,0.65%
Fetch.ai,FET,"$31,885,955",$0.042736,"746,113,681 FET *","$4,293,038",-1.90%,0.95%,5.23%
GateToken,GT,"$31,777,252",$0.419452,"75,758,996 GT *","$11,212,956",0.00%,1.09%,0.82%
Super Zero Protocol,SERO,"$31,443,936",$0.105879,"296,979,374 SERO *","$3,453,063",-2.58%,-2.60%,-4.09%
Syscoin,SYS,"$31,236,828",$0.052049,"600,147,105 SYS","$1,211,792",-1.80%,5.36%,33.35%
Voyager Token,VGX,"$30,795,392",$0.138534,"222,295,208 VGX *","$286,117",-1.05%,1.31%,-7.24%
Harmony,ONE,"$30,942,639",$0.004947,"6,255,461,110 ONE *","$3,650,729",0.40%,4.35%,1.67%
Digitex Futures,DGTX,"$30,879,194",$0.033166,"931,035,715 DGTX *","$2,917,234",-0.56%,-15.57%,2.95%
v.systems,VSYS,"$31,094,129",$0.014550,"2,137,014,799 VSYS *","$4,018,304",-0.09%,-4.46%,-3.11%
Polymath,POLY,"$30,382,220",$0.056789,"535,000,099 POLY *","$3,236,382",-0.93%,-2.09%,-5.30%
Travala.com,AVA,"$30,275,650",$0.729093,"41,525,062 AVA *","$1,127,777",0.68%,3.82%,-6.48%
ReddCoin,RDD,"$30,245,703",$0.001050,"28,808,713,174 RDD *","$170,470",-9.08%,-79.98%,6.60%
bZx Protocol,BZRX,"$30,358,575",$0.215906,"140,610,067 BZRX *","$18,711,458",4.37%,22.21%,76.93%
Venus,XVS,"$29,700,656",$4.71,"6,300,000 XVS *","$8,820,542",4.74%,17.59%,66.04%
WINk,WIN,"$29,747,174",$0.000095,"313,607,571,387 WIN *","$2,037,854",0.48%,6.16%,6.22%
Streamr,DATA,"$28,900,153",$0.041713,"692,829,898 DATA *","$2,543,922",-2.15%,-2.29%,-0.75%
Flexacoin,FXC,"$28,663,862",$0.003941,"7,273,713,838 FXC *","$181,678",-1.93%,-1.51%,-2.03%
Orbs,ORBS,"$28,986,982",$0.012999,"2,229,950,518 ORBS *","$158,829",1.20%,1.23%,0.09%
Keep3rV1,KP3R,"$28,862,446",$144.31,"200,001 KP3R *","$7,748,397",-1.15%,24.61%,15.27%
CertiK,CTK,"$27,968,204",$1.18,"23,790,857 CTK *","$9,866,840",2.54%,6.07%,36.20%
Thunder Token,TT,"$27,904,296",$0.004739,"5,887,903,653 TT *","$3,010,932",0.24%,1.10%,5.34%
Handshake,HNS,"$27,686,484",$0.086007,"321,910,687 HNS *","$739,526",-0.57%,-2.70%,2.09%
xDai,STAKE,"$27,365,673",$8.40,"3,257,333 STAKE *","$1,885,022",2.11%,-2.98%,-12.64%
